,id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
12758,12758,C,178.19,material_7,material_8,5,8,3,9,5,17.786,12.029,18.408,19.244,11.783,19.113,12.844,16.413,19.032,10.024,14.92,16.069,15.482,17.363,843.667,0
12760,12760,C,94.16,material_7,material_8,5,8,13,7,1,19.343,11.427,15.648,17.319,11.836,18.685,12.191,16.39,21.224,10.871,16.079,15.539,13.439,15.063,624.25,0
12762,12762,C,138.17,material_7,material_8,5,8,0,15,5,17.33,10.752,17.946,17.608,11.003,17.625,12.621,15.529,20.464,9.603,16.109,14.608,13.98,15.639,630.614,0
12768,12768,C,144.37,material_7,material_8,5,8,0,11,1,18.668,12.637,17.529,17.322,11.332,17.9,11.063,15.321,20.38,8.944,15.209,14.666,16.285,18.46,589.367,1
12770,12770,C,146.71,material_7,material_8,5,8,8,5,2,17.597,9.603,16.818,19.154,11.968,19.247,12.146,15.08,17.893,12.291,15.288,18.566,16.178,16.25,754.081,0
12771,12771,C,67.0,material_7,material_8,5,8,4,7,3,16.289,10.274,16.856,18.53,10.303,16.778,11.196,16.795,15.721,13.476,15.628,15.799,12.547,14.504,422.24,0
12772,12772,C,156.46,material_7,material_8,5,8,0,20,0,18.734,11.853,17.622,18.073,10.483,20.074,11.432,16.45,18.681,8.774,16.968,17.483,13.844,15.113,775.826,1
12776,12776,C,141.8,material_7,material_8,5,8,13,6,4,17.227,10.985,16.953,16.38,12.553,17.932,12.546,15.374,18.606,8.796,15.659,18.402,15.142,13.952,659.217,0
12779,12779,C,163.04,material_7,material_8,5,8,3,14,3,17.462,12.933,17.118,17.495,10.68,18.457,12.806,15.545,20.838,10.619,17.448,15.953,14.91,15.601,655.028,0
12781,12781,C,100.84,material_7,material_8,5,8,11,9,8,18.707,10.016,17.704,18.262,11.358,19.409,10.336,16.24,19.952,12.796,16.07,16.217,15.054,15.582,717.965,1
12782,12782,C,197.89,material_7,material_8,5,8,7,13,11,18.471,12.026,16.351,17.867,10.95,18.494,11.177,15.999,17.607,11.592,15.199,17.977,15.676,17.446,573.347,1
12785,12785,C,121.51,material_7,material_8,5,8,6,9,7,19.08,12.905,15.28,18.721,12.176,19.055,11.61,15.551,18.861,11.978,13.759,14.69,16.152,16.731,641.84,0
12790,12790,C,168.88,material_7,material_8,5,8,9,10,5,16.552,11.308,17.553,19.624,10.811,20.535,10.255,15.124,16.603,11.872,16.535,18.624,15.947,15.996,795.959,0
12791,12791,C,107.6,material_7,material_8,5,8,13,8,7,17.086,12.007,16.586,16.58,11.642,19.961,12.214,15.08,18.62,9.028,16.067,20.095,16.82,16.352,776.793,0
12794,12794,C,119.89,material_7,material_8,5,8,8,6,6,18.16,11.094,17.444,18.373,10.942,18.125,13.169,17.637,17.344,11.562,15.732,17.548,15.377,16.469,672.487,1
12795,12795,C,158.06,material_7,material_8,5,8,6,7,4,16.376,13.681,16.675,17.165,9.872,18.797,10.57,17.364,19.825,12.368,16.203,15.574,18.176,18.801,546.522,1
12796,12796,C,87.31,material_7,material_8,5,8,8,6,2,17.382,11.92,18.088,16.646,10.036,18.931,11.58,15.465,19.062,10.36,16.551,15.866,15.67,17.652,671.831,1
12798,12798,C,71.5,material_7,material_8,5,8,7,9,8,18.626,11.277,17.277,18.548,11.759,18.364,10.953,15.827,16.893,11.482,15.352,14.75,16.136,16.996,639.91,0
12802,12802,C,118.09,material_7,material_8,5,8,6,9,5,19.109,12.688,18.415,18.852,10.811,19.273,12.588,15.498,21.23,9.078,16.894,16.342,11.723,14.347,805.402,0
12804,12804,C,150.66,material_7,material_8,5,8,3,10,7,18.51,11.983,16.912,19.069,12.108,21.344,12.273,17.02,17.274,9.811,14.416,17.953,16.722,15.852,959.521,0
12807,12807,C,161.48,material_7,material_8,5,8,8,11,5,17.331,12.103,16.65,17.236,12.355,18.243,12.008,14.489,16.654,11.956,17.297,18.422,16.788,16.302,650.164,1
12809,12809,C,152.38,material_7,material_8,5,8,15,7,4,18.684,12.113,19.005,19.067,11.41,19.515,12.48,15.816,19.498,10.153,12.14,16.301,16.385,19.054,880.293,1
12815,12815,C,137.74,material_7,material_8,5,8,3,8,11,17.743,11.804,16.755,17.726,10.119,18.926,9.31,16.75,18.494,11.502,15.201,17.809,15.374,19.373,530.157,0
12817,12817,C,203.35,material_7,material_8,5,8,3,4,3,17.552,10.029,19.18,17.449,11.228,19.014,13.064,15.755,19.143,11.112,14.991,16.369,15.192,16.894,845.657,0
12820,12820,C,105.59,material_7,material_8,5,8,4,9,9,16.308,12.195,16.757,16.079,10.246,20.733,11.429,16.622,20.723,14.394,13.478,15.223,16.229,15.513,765.153,0
12822,12822,C,69.04,material_7,material_8,5,8,8,8,4,17.775,12.276,15.859,17.959,11.452,19.549,11.353,16.135,17.743,9.929,14.516,18.244,18.07,16.909,671.14,0
12823,12823,C,130.21,material_7,material_8,5,8,3,8,5,18.514,11.481,19.381,19.114,12.346,18.998,11.835,17.167,17.372,10.759,16.103,17.848,14.594,14.828,868.805,0
12824,12824,C,107.83,material_7,material_8,5,8,1,7,3,16.808,12.754,17.294,18.687,11.921,18.791,11.841,15.659,17.39,12.953,14.012,13.43,15.661,16.397,719.92,1
12825,12825,C,111.32,material_7,material_8,5,8,7,11,5,16.821,14.312,17.104,17.042,12.906,16.636,11.02,15.893,17.019,9.042,16.23,15.986,19.226,13.565,512.31,0
12826,12826,C,161.81,material_7,material_8,5,8,8,11,8,16.884,10.31,16.111,18.056,10.641,16.479,11.676,16.026,21.916,10.856,15.736,15.376,13.47,15.812,383.681,1
12827,12827,C,114.48,material_7,material_8,5,8,10,8,4,18.266,11.552,16.586,17.711,11.376,20.603,13.116,15.077,20.473,12.869,14.756,12.58,14.621,16.45,865.636,0
12831,12831,C,176.07,material_7,material_8,5,8,8,6,6,17.021,12.864,17.239,16.425,11.606,19.492,11.508,16.362,20.711,13.226,16.421,15.089,17.47,19.094,739.072,0
12832,12832,C,109.55,material_7,material_8,5,8,5,9,3,17.289,12.248,17.414,15.784,14.165,19.588,11.067,15.994,17.155,11.454,14.568,16.793,12.565,13.68,843.668,0
12833,12833,C,162.02,material_7,material_8,5,8,15,8,2,18.318,10.37,14.798,17.281,11.798,17.972,10.831,16.797,17.947,9.547,13.951,15.564,15.15,17.037,462.111,0
12834,12834,C,108.62,material_7,material_8,5,8,9,7,12,17.92,10.65,15.958,16.985,11.766,19.461,11.446,16.886,18.846,9.442,15.37,14.179,15.471,17.744,678.287,0
12836,12836,C,102.28,material_7,material_8,5,8,12,7,10,18.016,11.501,18.854,17.182,10.768,18.957,9.721,16.288,17.437,12.529,14.058,11.773,14.194,17.52,681.045,0
12837,12837,C,57.6,material_7,material_8,5,8,24,7,10,17.71,12.395,16.654,17.641,13.668,18.936,11.667,13.873,20.474,9.327,15.424,14.951,15.522,19.236,758.735,0
12839,12839,C,179.96,material_7,material_8,5,8,7,10,8,15.352,12.59,18.09,17.444,12.298,17.964,13.269,16.874,19.458,9.65,14.403,13.983,17.375,18.066,745.509,0
12842,12842,C,49.64,material_7,material_8,5,8,10,9,5,17.515,13.484,17.283,17.097,12.913,19.001,9.601,16.06,20.498,9.625,13.781,15.375,13.117,14.908,686.915,1
12844,12844,C,96.61,material_7,material_8,5,8,9,10,2,17.645,11.466,16.259,17.624,11.304,17.591,12.08,15.886,17.855,9.585,13.728,13.004,16.184,16.44,531.669,0
12845,12845,C,146.22,material_7,material_8,5,8,7,5,4,18.433,11.775,18.176,17.292,12.808,19.693,11.636,14.913,17.281,12.598,13.887,20.548,13.219,12.463,867.577,1
12846,12846,C,116.87,material_7,material_8,5,8,18,7,14,17.94,11.824,18.735,17.478,10.927,18.171,11.676,16.689,18.187,9.735,13.74,15.117,15.635,18.035,683.631,0
12849,12849,C,103.04,material_7,material_8,5,8,2,12,12,16.906,11.721,17.555,17.946,10.741,18.981,10.18,14.604,19.977,8.536,14.384,19.124,13.48,13.899,635.99,0
12852,12852,C,127.55,material_7,material_8,5,8,15,10,13,18.24,10.465,16.939,17.779,12.511,19.27,11.401,14.707,21.277,10.85,14.311,17.524,16.047,16.224,746.809,1
12854,12854,C,129.72,material_7,material_8,5,8,7,8,5,16.846,11.481,19.244,17.24,12.571,19.065,11.421,19.161,20.261,15.555,13.418,15.513,16.121,17.317,848.108,0
12856,12856,C,237.4,material_7,material_8,5,8,6,8,3,18.888,11.643,15.913,17.831,13.85,17.593,12.632,15.647,20.449,14.441,14.014,14.733,15.626,17.039,642.171,0
12858,12858,C,124.87,material_7,material_8,5,8,4,17,7,17.75,12.598,16.417,19.193,10.56,19.636,12.147,16.218,17.768,8.708,16.003,17.903,16.842,17.161,709.221,0
12860,12860,C,142.3,material_7,material_8,5,8,2,7,6,18.007,9.699,17.203,18.348,12.145,19.063,10.317,15.045,15.208,11.898,17.261,17.334,13.038,13.967,692.42,0
12861,12861,C,139.96,material_7,material_8,5,8,4,9,5,17.32,12.178,17.59,17.126,10.324,19.194,11.752,14.565,20.332,13.391,15.695,15.545,16.424,17.467,692.141,0
12863,12863,C,149.4,material_7,material_8,5,8,13,16,10,16.244,11.29,17.362,16.586,11.473,18.508,11.204,16.132,21.191,10.824,16.222,15.031,13.849,15.809,640.421,0
12867,12867,C,73.38,material_7,material_8,5,8,2,11,6,18.807,9.498,17.403,18.159,13.055,19.046,11.702,16.462,20.779,14.361,16.731,14.827,14.989,16.028,787.38,0
12868,12868,C,153.33,material_7,material_8,5,8,13,6,4,18.211,11.456,16.514,19.557,12.934,19.346,10.598,16.966,18.021,10.728,16.374,16.547,13.659,14.757,733.71,1
12869,12869,C,124.87,material_7,material_8,5,8,0,8,1,17.547,11.895,17.428,16.843,13.351,17.656,11.698,15.922,19.194,9.766,16.371,17.02,13.384,15.681,664.839,1
12870,12870,C,59.94,material_7,material_8,5,8,11,7,0,19.035,11.225,16.892,17.983,10.9,19.613,12.508,15.549,21.345,13.583,16.196,11.641,15.091,17.973,750.22,0
12874,12874,C,99.57,material_7,material_8,5,8,10,8,5,16.884,9.584,16.777,16.709,11.708,20.054,12.515,15.25,17.19,10.253,15.656,17.959,14.678,14.677,810.388,0
12878,12878,C,97.63,material_7,material_8,5,8,9,8,9,16.459,13.332,19.091,18.674,12.15,18.722,11.538,17.499,18.959,12.162,15.366,18.505,16.492,15.374,806.2,0
12880,12880,C,129.26,material_7,material_8,5,8,14,5,3,17.393,10.181,15.342,16.807,12.458,18.836,12.1,16.987,19.225,12.427,16.211,17.466,15.777,18.616,640.43,1
12884,12884,C,149.49,material_7,material_8,5,8,6,5,6,16.943,11.14,16.544,15.712,12.048,17.743,11.571,15.67,18.801,10.553,13.429,15.002,14.417,18.649,559.579,0
12892,12892,C,222.29,material_7,material_8,5,8,5,9,8,18.834,12.599,17.438,17.486,12.28,19.139,11.56,15.561,19.445,9.317,14.145,15.288,16.165,17.189,756.405,0
12893,12893,C,117.74,material_7,material_8,5,8,4,7,2,16.36,12.318,18.186,16.781,10.064,18.02,11.599,16.341,19.985,11.076,16.716,14.251,14.679,16.575,597.109,0
12901,12901,C,144.38,material_7,material_8,5,8,10,9,5,19.452,11.17,17.921,16.365,13.258,18.642,11.748,16.698,16.008,10.752,16.643,18.325,13.974,15.086,774.726,0
12902,12902,C,120.76,material_7,material_8,5,8,7,9,3,17.155,12.109,16.42,17.665,12.071,20.295,10.761,16.851,16.627,9.549,15.968,18.251,13.99,15.068,770.152,0
12903,12903,C,111.34,material_7,material_8,5,8,9,8,1,17.495,11.694,14.53,17.322,13.172,19.616,11.171,15.593,17.889,9.955,15.727,15.551,16.648,16.118,668.381,1
12905,12905,C,182.6,material_7,material_8,5,8,14,10,5,16.948,11.475,18.225,16.071,11.39,19.478,11.271,16.266,20.196,14.285,14.079,17.606,18.084,18.864,769.291,1
12907,12907,C,107.05,material_7,material_8,5,8,6,5,6,18.546,11.12,15.761,16.457,11.509,18.976,11.248,16.329,18.201,12.152,14.866,19.168,13.849,13.483,602.241,0
12913,12913,C,107.77,material_7,material_8,5,8,4,10,5,16.246,12.388,16.558,16.834,9.412,19.141,11.785,15.892,15.19,5.867,15.719,13.824,18.189,10.735,593.674,1
12915,12915,C,81.72,material_7,material_8,5,8,5,9,4,18.413,11.549,17.014,17.977,11.751,17.731,11.45,15.741,17.699,10.199,15.771,16.527,17.717,15.329,582.761,0
12916,12916,C,173.78,material_7,material_8,5,8,6,11,1,17.514,11.386,18.713,17.382,11.424,19.193,10.656,16.231,20.368,11.679,16.719,14.738,16.723,17.284,757.457,0
12920,12920,C,162.58,material_7,material_8,5,8,9,5,0,18.072,12.566,14.66,19.384,11.83,17.228,11.502,15.222,21.057,11.073,15.854,14.903,14.299,15.736,427.995,0
12922,12922,C,83.04,material_7,material_8,5,8,7,9,7,19.926,12.046,17.516,17.277,11.594,17.904,10.968,16.0,16.905,11.027,16.505,14.37,14.33,15.823,596.086,0
12926,12926,C,112.4,material_7,material_8,5,8,4,8,5,18.12,13.167,18.876,16.899,11.837,20.492,10.479,16.243,19.963,11.089,14.642,16.839,17.146,16.517,892.428,0
12928,12928,C,92.04,material_7,material_8,5,8,8,9,4,17.903,12.115,17.641,15.213,11.591,19.419,11.863,16.739,19.056,14.261,17.868,12.314,14.071,14.981,757.965,0
12930,12930,C,155.99,material_7,material_8,5,8,2,5,7,17.77,11.712,16.691,18.851,14.516,18.388,11.701,15.305,19.201,12.47,15.749,19.082,15.142,14.854,756.147,0
12932,12932,C,127.35,material_7,material_8,5,8,9,7,6,18.527,12.988,17.064,18.196,11.286,18.32,10.588,17.082,19.466,12.157,14.675,17.985,19.137,19.473,589.585,0
12933,12933,C,85.7,material_7,material_8,5,8,13,6,10,16.981,12.476,14.895,17.328,13.386,18.511,11.92,17.109,17.487,12.32,16.923,11.045,14.093,18.528,622.462,0
12934,12934,C,118.0,material_7,material_8,5,8,15,5,5,17.908,10.208,16.84,16.555,13.855,20.679,10.756,16.204,21.651,13.38,14.914,12.38,15.088,17.275,894.074,1
12936,12936,C,114.75,material_7,material_8,5,8,13,6,2,18.218,13.444,16.759,17.019,12.344,18.237,10.768,14.888,18.011,10.701,15.928,17.535,16.16,17.406,608.387,1
12937,12937,C,89.89,material_7,material_8,5,8,3,10,4,16.167,12.045,16.801,18.647,10.299,19.352,10.513,15.268,18.797,10.944,16.438,17.172,13.382,14.913,629.731,0
12940,12940,C,151.67,material_7,material_8,5,8,7,2,2,18.676,13.386,16.579,17.155,10.378,18.78,10.196,16.127,17.916,9.989,15.699,17.244,14.452,14.548,546.523,0
12941,12941,C,204.07,material_7,material_8,5,8,3,15,5,18.44,14.163,17.534,17.916,12.377,19.141,11.126,16.522,18.604,11.66,15.403,17.666,17.039,16.364,752.519,1
12942,12942,C,87.38,material_7,material_8,5,8,4,6,7,17.296,11.424,16.268,19.128,11.478,19.608,10.337,17.753,21.273,10.202,15.438,17.373,17.555,16.043,671.285,0
12944,12944,C,92.62,material_7,material_8,5,8,3,11,3,17.894,11.214,18.182,17.183,12.854,19.025,11.326,14.058,17.081,12.303,14.424,15.173,14.389,15.604,797.04,0
12945,12945,C,141.36,material_7,material_8,5,8,10,10,7,18.245,9.781,16.107,16.372,10.683,18.091,11.425,16.765,20.139,12.302,16.931,15.501,18.42,19.288,510.648,1
12946,12946,C,225.7,material_7,material_8,5,8,8,10,6,19.496,9.727,17.899,17.735,12.025,18.879,9.742,18.323,17.941,11.271,15.187,18.409,17.354,13.802,679.806,0
12947,12947,C,108.89,material_7,material_8,5,8,4,8,2,18.533,10.036,16.417,18.766,10.392,20.841,10.889,16.385,20.495,9.717,16.268,14.789,13.862,15.266,762.971,1
12949,12949,C,105.6,material_7,material_8,5,8,0,17,3,17.538,12.873,16.726,17.114,11.343,18.868,12.513,14.374,17.956,10.613,14.365,17.72,16.781,17.485,687.488,0
12952,12952,C,103.03,material_7,material_8,5,8,9,9,4,17.1,10.721,15.729,17.609,13.096,18.945,12.127,16.396,18.654,12.995,15.591,18.658,14.825,17.367,703.869,0
12954,12954,C,118.88,material_7,material_8,5,8,15,7,13,17.556,11.726,15.494,19.808,11.336,20.525,11.523,15.547,21.162,11.059,14.726,14.87,14.274,16.133,756.391,0
12955,12955,C,122.4,material_7,material_8,5,8,16,3,4,19.832,12.42,16.772,17.931,11.4,16.91,11.204,15.088,17.669,10.068,16.744,15.998,16.323,14.356,470.82,0
12956,12956,C,155.36,material_7,material_8,5,8,5,6,12,16.143,10.965,18.192,17.449,12.169,19.217,11.264,15.169,17.863,11.437,15.622,18.02,17.903,18.906,786.382,1
12957,12957,C,145.37,material_7,material_8,5,8,2,5,5,17.828,12.348,17.344,17.298,12.773,18.591,11.976,14.768,21.446,8.86,15.335,15.328,11.989,15.909,735.222,0
12958,12958,C,109.29,material_7,material_8,5,8,12,9,10,18.695,11.775,16.341,17.077,11.201,18.316,11.372,16.072,19.832,12.138,17.162,11.609,14.291,18.115,567.786,0
12959,12959,C,146.62,material_7,material_8,5,8,4,5,7,16.452,11.5,18.446,15.873,11.533,21.51,11.359,15.225,18.291,14.353,15.731,22.303,16.299,14.463,974.697,0
12961,12961,C,169.89,material_7,material_8,5,8,14,8,0,19.055,10.824,18.068,17.295,11.822,18.888,10.496,15.49,19.988,9.965,16.145,17.331,14.298,17.492,707.36,1
12962,12962,C,135.1,material_7,material_8,5,8,2,7,4,19.067,10.115,16.536,18.434,11.871,19.718,12.851,15.829,17.562,11.705,16.614,15.526,13.009,17.719,797.524,0
12968,12968,C,69.43,material_7,material_8,5,8,10,9,7,17.703,9.596,16.884,18.854,11.969,19.061,10.351,16.777,19.52,12.358,14.439,16.294,15.383,16.374,672.095,0
12971,12971,C,225.77,material_7,material_8,5,8,8,11,5,16.309,11.522,17.407,18.043,12.476,20.044,10.826,17.104,21.236,7.655,17.379,14.513,15.998,18.974,821.997,0
12972,12972,C,91.07,material_7,material_8,5,8,0,7,3,17.013,13.103,16.452,15.921,11.855,18.44,12.214,15.264,18.963,11.961,15.313,14.262,15.083,16.21,634.818,0
12977,12977,C,121.26,material_7,material_8,5,8,7,10,2,18.126,11.165,16.494,16.937,10.791,18.881,12.206,16.332,18.907,9.836,16.987,16.371,15.185,16.997,639.509,0
12979,12979,C,130.11,material_7,material_8,5,8,4,8,1,18.494,10.594,17.621,17.184,10.436,18.606,12.421,16.199,18.436,12.008,17.349,17.455,15.15,19.144,668.25,0
12980,12980,C,174.89,material_7,material_8,5,8,11,7,3,16.994,11.61,17.221,15.768,12.483,20.745,11.434,18.351,18.19,10.659,14.917,17.832,16.552,18.155,882.58,0
12982,12982,C,84.65,material_7,material_8,5,8,2,9,5,18.19,10.87,16.069,16.537,12.059,19.522,11.322,14.656,18.145,11.089,15.445,15.915,17.331,17.454,693.693,0
12983,12983,C,116.21,material_7,material_8,5,8,4,8,7,16.415,11.597,17.222,14.952,10.625,19.852,12.755,16.648,19.519,9.528,15.665,15.998,12.456,14.536,765.573,1
12985,12985,C,135.87,material_7,material_8,5,8,2,16,12,19.473,11.912,17.795,15.628,10.669,17.893,9.124,16.826,16.262,10.759,15.456,15.484,13.167,16.322,491.253,0
12990,12990,C,116.57,material_7,material_8,5,8,12,8,7,18.977,10.963,16.393,17.807,11.7,19.868,11.007,14.506,16.491,11.476,12.691,17.311,15.245,15.014,725.464,0
12992,12992,C,116.6,material_7,material_8,5,8,10,4,2,18.13,11.174,18.828,17.456,10.314,18.486,12.532,16.857,19.298,8.417,14.575,18.901,16.355,16.795,722.43,0
12994,12994,C,129.24,material_7,material_8,5,8,11,7,2,18.933,11.172,17.014,17.511,11.584,19.01,10.516,15.197,15.543,14.092,15.658,20.314,16.499,17.704,654.258,0
12996,12996,C,133.38,material_7,material_8,5,8,3,5,7,16.999,12.159,18.855,17.557,12.556,20.764,11.86,15.235,18.589,10.596,15.003,16.556,16.542,17.497,1000.087,1
12997,12997,C,112.89,material_7,material_8,5,8,4,2,6,17.747,10.725,17.477,17.242,12.345,18.626,12.783,15.937,18.393,11.393,15.539,17.869,15.255,14.538,756.713,0
13000,13000,C,119.69,material_7,material_8,5,8,7,7,8,15.667,11.892,16.647,18.282,12.25,18.054,13.376,15.121,18.993,9.364,15.81,15.167,16.302,15.888,685.804,0
13006,13006,C,94.25,material_7,material_8,5,8,5,3,2,16.921,12.041,17.712,17.707,13.995,17.973,11.618,15.874,19.575,10.25,16.392,16.722,16.664,20.376,738.455,0
13009,13009,C,116.28,material_7,material_8,5,8,6,7,7,18.621,10.66,16.995,15.654,14.067,18.885,12.206,14.612,17.813,13.129,15.581,16.078,13.484,16.842,794.143,1
13011,13011,C,128.87,material_7,material_8,5,8,7,10,5,17.567,12.435,16.453,17.151,12.361,17.81,11.369,18.228,19.244,12.671,15.627,13.478,16.733,17.254,576.804,0
13015,13015,C,111.7,material_7,material_8,5,8,13,7,11,16.163,11.417,17.329,17.096,12.69,19.167,10.405,15.697,20.619,10.468,16.936,15.564,13.449,15.116,724.124,1
13016,13016,C,97.59,material_7,material_8,5,8,13,9,4,18.625,12.066,16.706,16.996,12.235,19.583,12.185,17.017,17.132,11.431,13.652,17.503,16.674,16.17,775.958,0
13017,13017,C,133.56,material_7,material_8,5,8,10,9,6,16.838,12.927,15.646,18.749,11.239,20.361,13.667,15.772,19.558,10.556,14.679,15.078,14.041,15.164,816.384,1
13018,13018,C,279.03,material_7,material_8,5,8,12,10,5,18.869,11.376,18.145,18.918,11.403,18.847,11.562,15.935,19.699,13.745,16.134,14.11,14.953,14.331,740.321,1
13019,13019,C,138.51,material_7,material_8,5,8,9,17,9,18.304,12.802,17.829,20.251,10.997,17.869,11.679,15.991,20.683,11.849,17.767,14.261,15.171,17.149,630.489,0
13022,13022,C,102.41,material_7,material_8,5,8,11,11,4,18.366,12.669,15.58,17.487,11.938,18.894,11.441,15.282,18.164,10.816,14.849,16.433,13.094,16.059,617.232,1
13027,13027,C,129.97,material_7,material_8,5,8,5,8,6,18.242,12.545,17.013,18.974,11.102,17.797,10.244,16.915,19.511,10.136,15.256,16.437,15.187,15.334,523.841,0
13031,13031,C,154.76,material_7,material_8,5,8,4,14,6,19.04,10.568,17.57,17.343,11.648,18.789,11.157,15.886,18.719,10.402,16.516,15.935,17.246,18.433,689.03,0
13032,13032,C,141.59,material_7,material_8,5,8,25,15,14,18.968,12.954,17.702,18.149,14.475,18.118,12.209,14.553,19.236,7.647,16.134,20.374,15.535,14.276,797.001,0
13033,13033,C,118.93,material_7,material_8,5,8,12,5,2,20.297,11.651,17.507,17.628,12.06,18.108,11.053,15.885,18.726,10.778,15.679,17.29,17.025,19.244,638.465,0
13034,13034,C,67.96,material_7,material_8,5,8,6,6,1,18.452,13.372,14.544,16.1,11.741,18.734,10.363,16.7,17.093,11.547,14.43,18.109,14.46,14.967,490.154,0
13037,13037,C,170.5,material_7,material_8,5,8,12,7,4,18.998,11.69,17.927,17.895,13.294,19.288,11.097,14.499,18.173,10.84,14.667,13.452,16.677,20.15,823.516,1
13038,13038,C,135.75,material_7,material_8,5,8,7,10,4,17.225,12.406,17.076,19.078,9.98,20.05,13.433,16.507,17.954,10.395,16.402,17.391,15.191,13.841,802.965,1
13039,13039,C,151.97,material_7,material_8,5,8,10,6,6,18.554,11.636,17.695,17.576,12.195,19.583,11.235,13.601,20.782,14.905,16.112,14.849,15.755,17.14,794.833,0
13040,13040,C,211.07,material_7,material_8,5,8,3,19,10,20.039,11.353,17.975,16.631,10.664,20.277,9.747,16.104,20.121,9.039,15.836,16.21,11.745,14.418,747.791,0
13041,13041,C,109.84,material_7,material_8,5,8,8,8,9,17.771,11.361,17.96,17.162,12.651,18.748,11.547,16.72,18.536,11.756,16.708,17.961,15.864,16.022,759.675,0
13042,13042,C,155.93,material_7,material_8,5,8,2,10,9,19.004,11.729,14.625,17.674,14.273,19.739,11.005,15.824,19.201,9.177,16.182,14.964,15.531,15.917,727.021,1
13043,13043,C,93.7,material_7,material_8,5,8,15,10,1,18.199,13.027,16.411,17.876,12.469,18.594,12.659,16.368,21.979,12.552,16.333,17.037,12.518,14.603,702.448,0
13044,13044,C,254.3,material_7,material_8,5,8,9,8,5,18.083,12.383,16.19,16.815,12.068,17.361,10.344,15.946,18.127,10.492,15.999,15.06,14.094,15.066,469.042,0
13045,13045,C,135.35,material_7,material_8,5,8,6,5,2,17.614,11.381,17.245,18.285,10.567,20.037,11.156,16.207,17.625,11.566,15.98,17.996,15.501,17.655,747.929,1
13049,13049,C,154.25,material_7,material_8,5,8,10,7,4,19.061,11.563,16.899,19.355,8.781,19.388,10.532,15.627,17.446,12.033,16.718,19.478,15.148,14.041,578.929,0
13050,13050,C,195.41,material_7,material_8,5,8,4,11,1,15.807,12.83,17.465,16.855,10.022,21.142,11.133,16.468,19.595,9.907,14.824,14.967,13.588,15.7,824.804,0
13051,13051,C,146.13,material_7,material_8,5,8,5,13,6,19.229,12.339,17.238,19.48,9.17,18.846,9.125,15.829,18.764,10.892,15.942,16.446,17.058,18.652,514.356,0
13053,13053,C,179.95,material_7,material_8,5,8,7,8,10,16.157,11.581,17.701,18.877,12.225,18.803,10.318,17.136,20.165,9.565,14.815,17.995,15.605,16.731,701.412,0
13055,13055,C,126.61,material_7,material_8,5,8,3,7,1,17.615,10.899,17.759,19.297,12.617,18.367,13.038,16.901,19.504,13.483,16.61,17.845,18.072,18.084,782.467,1
13056,13056,C,115.12,material_7,material_8,5,8,10,10,2,19.186,12.652,17.044,16.589,12.134,18.076,12.053,15.74,15.289,10.572,14.078,15.235,15.717,17.024,644.595,0
13060,13060,C,126.75,material_7,material_8,5,8,8,9,8,19.101,12.389,17.578,18.608,12.153,19.999,11.275,16.21,16.93,12.245,16.636,19.244,16.499,18.011,834.399,0
13061,13061,C,145.78,material_7,material_8,5,8,7,11,4,16.889,12.601,17.118,17.513,10.357,20.13,10.774,13.505,17.152,10.68,16.599,14.656,17.078,19.188,720.852,0
13063,13063,C,204.46,material_7,material_8,5,8,6,7,5,17.671,12.171,17.195,16.66,9.702,20.611,11.683,16.781,17.285,8.154,15.571,15.416,14.886,18.51,768.34,1
13064,13064,C,129.08,material_7,material_8,5,8,9,7,10,18.894,12.71,17.57,16.486,11.353,16.936,11.659,15.962,18.615,8.699,16.749,15.71,15.962,14.792,519.109,0
13066,13066,C,134.76,material_7,material_8,5,8,12,11,4,18.909,10.841,17.044,15.553,12.799,20.285,11.544,15.398,17.186,12.737,14.804,14.57,14.294,16.296,845.75,1
13068,13068,C,121.21,material_7,material_8,5,8,9,12,4,17.969,12.388,16.78,17.541,13.851,19.599,10.803,16.392,19.565,12.254,15.567,17.74,16.437,16.837,801.099,0
13069,13069,C,152.28,material_7,material_8,5,8,9,9,3,16.248,13.62,17.565,16.828,12.826,18.512,11.942,18.243,17.034,12.509,16.192,18.583,16.365,17.985,736.963,0
13070,13070,C,62.22,material_7,material_8,5,8,9,8,3,20.256,11.441,17.212,16.623,14.17,18.838,10.796,16.422,17.048,11.925,16.224,15.689,13.53,15.846,761.294,0
13071,13071,C,81.35,material_7,material_8,5,8,10,10,9,17.392,11.283,17.682,16.721,12.417,20.526,9.074,16.989,20.642,8.556,16.577,13.863,16.244,17.841,804.561,0
13074,13074,C,94.35,material_7,material_8,5,8,12,8,6,17.062,11.842,18.693,16.901,13.007,18.697,13.153,16.288,16.706,10.94,16.685,16.887,14.573,14.945,864.209,0
13075,13075,C,164.31,material_7,material_8,5,8,8,12,6,17.439,10.363,17.273,17.431,12.461,17.806,10.102,18.0,21.149,13.533,13.983,15.646,15.166,15.266,579.678,0
